id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1030,17/03/17,Las Palmas,Villarreal,1,0,H,1,0,H,19,8,10,3,14,14,8,5,2,2,0,1
1031,18/03/17,Alaves,Sociedad,1,0,H,1,0,H,10,10,5,2,14,13,5,8,3,3,0,1
1032,18/03/17,Ath Bilbao,Real Madrid,1,2,A,0,1,A,12,9,5,4,1,4,5,5,1,4,0,0
1033,18/03/17,Betis,Osasuna,2,0,H,2,0,H,9,13,5,5,12,15,5,0,0,3,0,0
1034,18/03/17,Eibar,Espanol,1,1,D,1,0,H,16,4,4,1,12,13,6,2,2,4,0,0
1035,19/03/17,Ath Madrid,Sevilla,3,1,H,1,0,H,15,9,8,2,16,14,2,2,4,3,0,0
1036,19/03/17,Barcelona,Valencia,4,2,H,2,2,D,28,6,12,5,4,12,6,3,3,4,0,1
1037,19/03/17,La Coruna,Celta,0,1,A,0,0,D,9,9,2,2,21,12,3,1,4,4,0,0
1038,19/03/17,Leganes,Malaga,0,0,D,0,0,D,14,8,2,1,11,16,6,7,4,2,0,0
1039,19/03/17,Sp Gijon,Granada,3,1,H,0,0,D,15,12,11,5,12,14,6,3,2,4,0,0
1040,31/03/17,Espanol,Betis,2,1,H,0,0,D,8,10,5,3,16,14,4,4,3,2,0,0
1041,1/4/2017,Malaga,Ath Madrid,0,2,A,0,1,A,21,7,5,6,9,11,6,0,2,2,0,0
1042,1/4/2017,Osasuna,Ath Bilbao,1,2,A,0,2,A,8,9,6,4,19,9,6,3,4,2,0,0
1043,1/4/2017,Sociedad,Leganes,1,1,D,0,1,A,14,6,5,3,10,16,7,0,2,3,0,0
1044,1/4/2017,Villarreal,Eibar,2,3,A,1,0,H,15,14,7,4,9,10,11,5,4,3,0,0
1045,2/4/2017,Granada,Barcelona,1,4,A,0,1,A,7,26,5,13,15,10,1,9,1,3,1,0
1046,2/4/2017,Real Madrid,Alaves,3,0,H,1,0,H,18,12,6,3,12,16,3,3,0,2,0,0
1047,2/4/2017,Sevilla,Sp Gijon,0,0,D,0,0,D,18,8,6,2,17,13,9,5,3,4,0,0
1048,2/4/2017,Valencia,La Coruna,3,0,H,2,0,H,14,13,8,5,17,13,3,6,3,1,0,0
1049,3/4/2017,Celta,Las Palmas,3,1,H,2,0,H,13,12,6,5,15,10,4,6,3,3,0,0
1050,4/4/2017,Ath Bilbao,Espanol,2,0,H,2,0,H,13,5,5,2,19,16,5,1,1,3,0,0
1051,4/4/2017,Ath Madrid,Sociedad,1,0,H,1,0,H,20,10,8,1,18,13,6,4,0,4,0,0
1052,4/4/2017,Betis,Villarreal,0,1,A,0,0,D,15,6,3,2,12,15,5,2,2,2,0,0
1053,5/4/2017,Alaves,Osasuna,0,1,A,0,0,D,15,7,3,6,20,12,5,1,5,1,0,0
1054,5/4/2017,Barcelona,Sevilla,3,0,H,3,0,H,15,7,7,3,16,13,4,4,4,2,0,1
1055,5/4/2017,La Coruna,Granada,0,0,D,0,0,D,12,10,3,2,14,10,6,3,1,4,0,0
1056,5/4/2017,Leganes,Real Madrid,2,4,A,2,3,A,14,18,3,8,14,16,4,4,2,1,0,0
1057,5/4/2017,Sp Gijon,Malaga,0,1,A,0,1,A,14,11,5,3,12,18,7,1,2,5,0,0
1058,6/4/2017,Eibar,Las Palmas,3,1,H,2,0,H,11,8,6,6,14,12,9,2,2,5,0,0
1059,6/4/2017,Valencia,Celta,3,2,H,1,1,D,15,12,10,3,16,9,6,2,1,1,0,0
1060,7/4/2017,Villarreal,Ath Bilbao,3,1,H,1,1,D,10,11,5,5,16,16,4,5,6,3,1,0
1061,8/4/2017,Espanol,Alaves,1,0,H,0,0,D,15,9,6,0,11,13,5,3,3,3,0,0
1062,8/4/2017,Malaga,Barcelona,2,0,H,1,0,H,8,11,4,3,26,20,2,3,4,3,0,1
1063,8/4/2017,Real Madrid,Ath Madrid,1,1,D,0,0,D,20,10,6,4,12,13,6,2,2,3,0,0
1064,8/4/2017,Sevilla,La Coruna,4,2,H,3,2,H,19,9,13,4,19,15,4,2,3,3,0,0
1065,9/4/2017,Celta,Eibar,0,2,A,0,1,A,12,11,3,6,10,16,0,3,1,3,0,0
1066,9/4/2017,Granada,Valencia,1,3,A,0,2,A,21,17,5,8,9,13,5,2,2,2,0,0
1067,9/4/2017,Las Palmas,Betis,4,1,H,1,0,H,9,13,6,5,16,18,2,6,3,4,0,0
1068,9/4/2017,Osasuna,Leganes,2,1,H,1,1,D,11,17,6,2,14,14,4,8,3,4,0,0
1069,10/4/2017,Sociedad,Sp Gijon,3,1,H,2,0,H,20,10,7,3,20,19,7,4,1,5,0,0
1070,14/04/17,Ath Bilbao,Las Palmas,5,1,H,3,1,H,18,8,7,2,22,10,14,5,1,2,0,0
1071,15/04/17,Ath Madrid,Osasuna,3,0,H,1,0,H,19,3,8,0,11,14,5,2,1,5,0,0
1072,15/04/17,Barcelona,Sociedad,3,2,H,3,2,H,16,14,9,7,15,17,5,4,3,2,0,0
1073,15/04/17,La Coruna,Malaga,2,0,H,0,0,D,11,11,4,3,15,17,1,4,3,4,0,0
1074,15/04/17,Sp Gijon,Real Madrid,2,3,A,1,1,D,4,18,2,6,17,12,4,8,5,1,0,0
1075,16/04/17,Betis,Eibar,2,0,H,1,0,H,6,10,4,3,15,19,4,6,4,4,0,0
1076,16/04/17,Granada,Celta,0,3,A,0,1,A,17,15,4,4,17,9,8,1,5,2,0,0
1077,16/04/17,Leganes,Espanol,0,1,A,0,0,D,15,7,5,2,20,14,5,1,1,1,0,0
1078,16/04/17,Valencia,Sevilla,0,0,D,0,0,D,14,10,3,2,19,20,4,2,3,2,0,0
1079,17/04/17,Alaves,Villarreal,2,1,H,2,0,H,11,11,5,5,8,13,5,11,2,4,0,0
1080,21/04/17,Sevilla,Granada,2,0,H,1,0,H,28,9,12,2,18,11,7,2,1,2,0,0
1081,22/04/17,Espanol,Ath Madrid,0,1,A,0,0,D,10,13,2,3,13,10,5,3,3,2,0,0
1082,22/04/17,Malaga,Valencia,2,0,H,2,0,H,10,13,4,2,16,13,7,6,3,3,0,0
1083,22/04/17,Osasuna,Sp Gijon,2,2,D,1,0,H,7,12,1,4,25,10,1,5,3,4,0,0
1084,22/04/17,Villarreal,Leganes,2,1,H,0,0,D,11,8,5,4,9,19,3,8,1,3,0,0
1085,23/04/17,Celta,Betis,0,1,A,0,0,D,8,17,4,6,16,15,5,6,3,5,0,0
1086,23/04/17,Las Palmas,Alaves,1,1,D,1,0,H,14,12,3,5,16,14,3,9,4,1,1,0
1087,23/04/17,Real Madrid,Barcelona,2,3,A,1,1,D,22,16,14,9,13,8,7,4,2,2,1,0
1088,23/04/17,Sociedad,La Coruna,1,0,H,1,0,H,17,5,3,1,16,16,11,1,1,3,0,0
1089,24/04/17,Eibar,Ath Bilbao,0,1,A,0,0,D,7,9,2,3,15,9,5,5,4,2,1,0
1090,25/04/17,Ath Madrid,Villarreal,0,1,A,0,0,D,23,6,9,2,15,16,5,1,2,6,0,0
1091,25/04/17,Granada,Malaga,0,2,A,0,0,D,3,17,1,6,22,13,2,4,5,0,0,0
1092,25/04/17,Sp Gijon,Espanol,1,1,D,1,0,H,16,14,6,5,9,11,7,2,1,2,0,0
1093,26/04/17,Barcelona,Osasuna,7,1,H,2,0,H,19,3,9,2,3,7,10,1,0,0,0,0
1094,26/04/17,La Coruna,Real Madrid,2,6,A,1,3,A,19,22,7,11,12,5,4,5,3,1,0,0
1095,26/04/17,Leganes,Las Palmas,3,0,H,0,0,D,16,7,5,0,14,17,6,3,1,0,0,0
1096,26/04/17,Valencia,Sociedad,2,3,A,0,2,A,14,8,3,2,15,21,2,3,4,3,0,0
1097,27/04/17,Alaves,Eibar,0,0,D,0,0,D,14,6,4,4,13,14,3,2,4,2,0,1
1098,27/04/17,Ath Bilbao,Betis,2,1,H,0,0,D,18,9,9,3,10,17,11,1,1,3,0,0
1099,27/04/17,Sevilla,Celta,2,1,H,0,0,D,16,10,5,1,20,18,5,1,1,2,0,1
1100,28/04/17,Villarreal,Sp Gijon,3,1,H,1,0,H,18,14,6,7,9,10,4,7,2,1,0,0
1101,29/04/17,Espanol,Barcelona,0,3,A,0,0,D,6,15,3,9,19,18,4,5,3,0,0,0
1102,29/04/17,Las Palmas,Ath Madrid,0,5,A,0,3,A,15,8,3,7,6,13,7,1,4,4,1,0
1103,29/04/17,Real Madrid,Valencia,2,1,H,1,0,H,20,9,5,2,13,10,2,3,3,4,0,0
1104,29/04/17,Sociedad,Granada,2,1,H,1,0,H,13,5,5,3,14,16,7,1,0,3,0,0
1105,30/04/17,Betis,Alaves,1,4,A,1,0,H,11,9,3,5,14,16,4,0,1,5,0,0
1106,30/04/17,Celta,Ath Bilbao,0,3,A,0,1,A,5,22,0,12,8,11,0,11,1,1,0,0
1107,30/04/17,Eibar,Leganes,2,0,H,0,0,D,9,12,5,1,12,9,2,11,1,1,0,0
1108,30/04/17,Osasuna,La Coruna,2,2,D,1,1,D,16,15,5,5,9,11,7,7,2,3,0,0
1109,1/5/2017,Malaga,Sevilla,4,2,H,1,1,D,11,9,5,4,14,18,1,3,3,5,0,0
1110,5/5/2017,Sevilla,Sociedad,1,1,D,1,0,H,11,9,3,3,20,10,10,3,4,3,0,1
1111,6/5/2017,Ath Madrid,Eibar,1,0,H,0,0,D,14,7,5,3,6,10,6,5,3,3,1,0
1112,6/5/2017,Barcelona,Villarreal,4,1,H,2,1,H,20,8,8,4,10,13,4,3,2,4,0,0
1113,6/5/2017,Granada,Real Madrid,0,4,A,0,4,A,13,16,3,8,14,8,6,3,1,0,0,0
1114,6/5/2017,Sp Gijon,Las Palmas,1,0,H,0,0,D,16,8,3,2,19,15,5,4,4,3,0,0
1115,7/5/2017,Alaves,Ath Bilbao,1,0,H,0,0,D,9,20,3,6,14,11,3,10,1,4,0,0
1116,7/5/2017,La Coruna,Espanol,1,2,A,0,2,A,21,9,5,3,10,14,12,4,1,2,0,0
1117,7/5/2017,Malaga,Celta,3,0,H,1,0,H,14,5,8,2,13,18,2,1,2,4,0,0
1118,7/5/2017,Valencia,Osasuna,4,1,H,2,0,H,19,9,8,4,15,11,9,2,3,2,0,0
1119,8/5/2017,Leganes,Betis,4,0,H,2,0,H,6,13,4,3,18,13,2,2,3,0,0,0
1120,13/05/17,Espanol,Valencia,0,1,A,0,0,D,15,9,3,3,19,14,7,2,0,4,0,0
1121,13/05/17,Osasuna,Granada,2,1,H,1,1,D,19,9,7,3,11,9,8,3,1,3,0,0
1122,14/05/17,Alaves,Celta,3,1,H,3,0,H,11,15,4,4,11,13,4,4,1,3,0,0
1123,14/05/17,Ath Bilbao,Leganes,1,1,D,1,0,H,15,5,6,2,12,8,10,1,2,7,0,0
1124,14/05/17,Betis,Ath Madrid,1,1,D,0,0,D,13,5,5,2,7,16,3,5,4,4,0,0
1125,14/05/17,Eibar,Sp Gijon,0,1,A,0,1,A,10,11,2,4,9,10,5,6,2,2,0,0
1126,14/05/17,Las Palmas,Barcelona,1,4,A,0,2,A,11,11,5,5,13,15,3,6,0,1,0,0
1127,14/05/17,Real Madrid,Sevilla,4,1,H,2,0,H,14,11,7,6,14,19,4,5,4,2,0,0
1128,14/05/17,Sociedad,Malaga,2,2,D,1,1,D,15,9,5,4,10,16,9,3,1,2,0,0
1129,14/05/17,Villarreal,La Coruna,0,0,D,0,0,D,21,3,4,1,15,21,11,3,2,4,0,0
1130,17/05/17,Celta,Real Madrid,1,4,A,0,1,A,17,13,6,8,17,9,4,6,4,2,1,0
1131,19/05/17,Granada,Espanol,1,2,A,1,2,A,16,5,7,3,12,9,3,3,0,3,0,0
1132,20/05/17,La Coruna,Las Palmas,3,0,H,3,0,H,9,13,5,4,25,14,0,9,4,2,0,1
1133,20/05/17,Leganes,Alaves,1,1,D,0,0,D,15,17,4,5,9,14,8,4,0,1,0,0
1134,20/05/17,Sevilla,Osasuna,5,0,H,3,0,H,17,5,7,2,11,8,1,1,3,1,0,0
1135,20/05/17,Sp Gijon,Betis,2,2,D,1,1,D,11,21,5,9,15,14,2,3,0,2,0,0
1136,21/05/17,Ath Madrid,Ath Bilbao,3,1,H,2,0,H,12,16,4,1,13,11,2,5,2,0,0,0
1137,21/05/17,Barcelona,Eibar,4,2,H,0,1,A,18,6,11,4,3,16,10,4,1,2,0,1
1138,21/05/17,Celta,Sociedad,2,2,D,0,0,D,13,18,5,8,8,17,3,7,2,1,0,0
1139,21/05/17,Malaga,Real Madrid,0,2,A,0,1,A,22,16,6,8,6,9,9,7,2,0,0,0
1140,21/05/17,Valencia,Villarreal,1,3,A,0,1,A,16,14,5,6,15,10,9,0,2,2,0,0
1141,18/08/17,Leganes,Alaves,1,0,H,1,0,H,16,6,9,3,14,18,4,2,0,1,0,0
1142,18/08/17,Valencia,Las Palmas,1,0,H,1,0,H,22,5,6,4,25,13,5,2,3,3,0,1
1143,19/08/17,Celta,Sociedad,2,3,A,1,1,D,16,13,5,6,12,11,5,4,3,1,0,0
1144,19/08/17,Girona,Ath Madrid,2,2,D,2,0,H,13,9,6,3,15,15,6,0,2,4,0,1
1145,19/08/17,Sevilla,Espanol,1,1,D,1,1,D,9,9,4,6,14,12,7,3,2,4,1,0
1146,20/08/17,Ath Bilbao,Getafe,0,0,D,0,0,D,12,8,2,2,16,15,7,6,1,3,0,1
1147,20/08/17,Barcelona,Betis,2,0,H,2,0,H,15,3,2,0,16,15,8,0,2,1,0,0
1148,20/08/17,La Coruna,Real Madrid,0,3,A,0,2,A,12,16,6,8,16,12,4,4,5,1,0,1
1149,21/08/17,Levante,Villarreal,1,0,H,0,0,D,14,9,3,1,18,14,11,6,1,3,0,0
1150,21/08/17,Malaga,Eibar,0,1,A,0,0,D,10,13,4,6,16,15,3,7,2,3,0,0
1151,25/08/17,Betis,Celta,2,1,H,1,1,D,10,9,3,2,13,9,4,6,2,2,0,0
1152,25/08/17,Sociedad,Villarreal,3,0,H,3,0,H,15,6,9,1,12,22,10,4,2,2,0,0
1153,26/08/17,Alaves,Barcelona,0,2,A,0,0,D,11,23,2,11,12,10,1,14,2,3,0,0
1154,26/08/17,Girona,Malaga,1,0,H,1,0,H,15,7,4,2,11,15,2,3,3,4,0,0
1155,26/08/17,Las Palmas,Ath Madrid,1,5,A,0,2,A,10,8,4,6,10,9,4,2,4,1,0,0
1156,26/08/17,Levante,La Coruna,2,2,D,1,2,A,24,11,5,4,11,12,6,5,0,2,1,0
1157,27/08/17,Eibar,Ath Bilbao,0,1,A,0,1,A,14,10,5,4,14,11,4,3,1,1,1,0
1158,27/08/17,Espanol,Leganes,0,1,A,0,1,A,17,12,2,8,10,14,9,1,3,3,0,0
1159,27/08/17,Getafe,Sevilla,0,1,A,0,0,D,15,6,3,3,20,10,7,5,0,1,0,0
1160,27/08/17,Real Madrid,Valencia,2,2,D,1,1,D,22,7,6,3,12,12,13,4,3,5,0,0
1161,8/9/2017,Leganes,Getafe,1,2,A,0,1,A,11,11,7,3,14,20,2,4,1,2,0,0
1162,9/9/2017,Barcelona,Espanol,5,0,H,2,0,H,20,9,9,1,11,18,8,7,1,5,0,0
1163,9/9/2017,Real Madrid,Levante,1,1,D,1,1,D,18,5,10,2,9,16,13,3,2,3,1,0
1164,9/9/2017,Sevilla,Eibar,3,0,H,0,0,D,12,7,6,2,14,18,6,5,1,1,0,0
1165,9/9/2017,Valencia,Ath Madrid,0,0,D,0,0,D,11,13,0,4,16,14,4,3,1,0,0,0
1166,10/9/2017,Ath Bilbao,Girona,2,0,H,1,0,H,7,11,4,7,19,18,6,4,4,6,0,0
1167,10/9/2017,Celta,Alaves,1,0,H,1,0,H,20,5,3,3,17,17,9,4,4,4,0,0
1168,10/9/2017,La Coruna,Sociedad,2,4,A,1,2,A,11,15,4,4,18,14,5,7,1,3,0,0
1169,10/9/2017,Villarreal,Betis,3,1,H,1,1,D,14,8,7,3,9,9,4,3,3,0,0,0
1170,11/9/2017,Malaga,Las Palmas,1,3,A,0,1,A,14,10,6,8,22,11,3,2,4,2,0,0
1171,15/09/17,Eibar,Leganes,1,0,H,0,0,D,10,5,4,2,15,20,8,1,2,5,0,0
1172,16/09/17,Ath Madrid,Malaga,1,0,H,0,0,D,17,9,4,4,9,15,8,4,2,2,0,0
1173,16/09/17,Betis,La Coruna,2,1,H,1,1,D,17,11,7,3,13,19,6,4,2,3,0,0
1174,16/09/17,Getafe,Barcelona,1,2,A,1,0,H,13,7,4,5,15,14,3,4,2,4,0,0
1175,16/09/17,Levante,Valencia,1,1,D,1,1,D,9,13,2,5,21,11,1,3,2,1,0,0
1176,17/09/17,Alaves,Villarreal,0,3,A,0,1,A,16,16,2,6,12,25,2,3,2,2,0,0
1177,17/09/17,Girona,Sevilla,0,1,A,0,0,D,13,13,0,8,14,19,8,1,2,5,0,0
1178,17/09/17,Las Palmas,Ath Bilbao,1,0,H,0,0,D,12,11,3,5,12,19,7,6,2,3,0,0
1179,17/09/17,Sociedad,Real Madrid,1,3,A,1,2,A,10,18,5,6,12,15,4,6,3,2,0,0
1180,18/09/17,Espanol,Celta,2,1,H,2,0,H,9,11,3,1,12,14,3,5,1,4,0,0
1181,19/09/17,Barcelona,Eibar,6,1,H,2,0,H,11,13,10,4,4,9,7,7,0,2,0,0
1182,19/09/17,Valencia,Malaga,5,0,H,1,0,H,16,11,11,2,9,10,4,9,0,1,0,0
1183,20/09/17,Ath Bilbao,Ath Madrid,1,2,A,0,0,D,12,16,7,9,12,12,6,0,0,2,0,0
1184,20/09/17,La Coruna,Alaves,1,0,H,1,0,H,15,8,3,3,16,19,5,2,0,2,0,0
1185,20/09/17,Leganes,Girona,0,0,D,0,0,D,12,10,1,0,19,20,6,3,2,3,0,0
1186,20/09/17,Real Madrid,Betis,0,1,A,0,0,D,27,12,7,4,13,11,12,3,0,3,0,0
1187,20/09/17,Sevilla,Las Palmas,1,0,H,0,0,D,14,6,9,0,21,8,12,0,2,2,0,0
1188,21/09/17,Celta,Getafe,1,1,D,1,0,H,8,10,4,3,9,21,3,2,2,4,0,0
1189,21/09/17,Levante,Sociedad,3,0,H,1,0,H,13,13,9,3,13,11,3,6,2,0,0,1
1190,21/09/17,Villarreal,Espanol,0,0,D,0,0,D,14,10,5,3,17,10,5,5,5,2,0,0
1191,23/09/17,Alaves,Real Madrid,1,2,A,1,2,A,8,21,3,7,19,19,5,13,5,2,0,0
1192,23/09/17,Ath Madrid,Sevilla,2,0,H,0,0,D,13,11,4,0,11,17,7,6,4,3,0,0
1193,23/09/17,Girona,Barcelona,0,3,A,0,1,A,13,9,2,5,21,5,9,3,3,0,0,0
1194,23/09/17,Malaga,Ath Bilbao,3,3,D,1,1,D,15,8,7,7,16,8,5,1,7,2,1,0
1195,24/09/17,Eibar,Celta,0,4,A,0,3,A,9,10,0,6,14,5,4,4,2,1,0,0
1196,24/09/17,Espanol,La Coruna,4,1,H,2,0,H,17,21,5,6,16,7,4,6,1,2,0,0
1197,24/09/17,Getafe,Villarreal,4,0,H,0,0,D,17,6,8,1,11,16,7,4,1,4,0,0
1198,24/09/17,Las Palmas,Leganes,0,2,A,0,0,D,8,9,3,3,10,15,3,2,1,3,0,0
1199,24/09/17,Sociedad,Valencia,2,3,A,1,1,D,18,13,6,4,11,13,7,6,3,7,1,1
1200,25/09/17,Betis,Levante,4,0,H,0,0,D,14,8,6,1,9,5,6,3,1,0,0,0
1201,29/09/17,Celta,Girona,3,3,D,2,2,D,16,10,9,6,9,17,5,6,2,5,0,0
1202,30/09/17,La Coruna,Getafe,2,1,H,0,0,D,15,10,9,3,16,22,8,5,6,3,0,0
1203,30/09/17,Leganes,Ath Madrid,0,0,D,0,0,D,7,11,3,2,13,13,2,6,2,1,0,0
1204,30/09/17,Levante,Alaves,0,2,A,0,1,A,13,8,0,3,11,18,8,4,2,4,0,0
1205,30/09/17,Sevilla,Malaga,2,0,H,0,0,D,12,11,5,4,11,12,4,6,2,1,0,0
1206,1/10/2017,Barcelona,Las Palmas,3,0,H,0,0,D,22,10,10,1,10,11,8,3,5,1,0,0
1207,1/10/2017,Real Madrid,Espanol,2,0,H,1,0,H,22,8,8,3,8,10,10,3,2,2,0,0
1208,1/10/2017,Sociedad,Betis,4,4,D,2,2,D,17,10,6,6,9,18,12,5,3,3,0,0
1209,1/10/2017,Valencia,Ath Bilbao,3,2,H,2,0,H,10,16,6,6,18,16,2,8,3,4,0,0
1210,1/10/2017,Villarreal,Eibar,3,0,H,1,0,H,12,8,6,1,15,9,6,3,2,1,0,0
1211,13/10/17,Espanol,Levante,0,0,D,0,0,D,20,13,6,3,9,13,9,4,2,3,0,0
1212,14/10/17,Alaves,Sociedad,0,2,A,0,0,D,8,13,0,6,11,7,4,9,1,1,0,0
1213,14/10/17,Ath Bilbao,Sevilla,1,0,H,1,0,H,15,14,2,6,18,9,6,6,5,5,0,0
1214,14/10/17,Ath Madrid,Barcelona,1,1,D,1,0,H,5,15,4,7,12,10,2,1,3,2,0,0
1215,14/10/17,Getafe,Real Madrid,1,2,A,0,1,A,8,16,3,6,23,8,4,7,2,3,0,0
1216,15/10/17,Betis,Valencia,3,6,A,0,2,A,13,13,6,9,11,11,7,5,1,4,0,0
1217,15/10/17,Eibar,La Coruna,0,0,D,0,0,D,15,11,6,3,9,10,10,1,2,2,0,0
1218,15/10/17,Girona,Villarreal,1,2,A,1,2,A,14,5,3,2,12,20,8,1,3,4,0,0
1219,15/10/17,Malaga,Leganes,0,2,A,0,0,D,13,19,5,9,21,21,4,2,4,3,1,0
1220,16/10/17,Las Palmas,Celta,2,5,A,0,2,A,24,14,11,7,13,12,14,3,2,1,0,1
1221,21/10/17,Barcelona,Malaga,2,0,H,1,0,H,12,13,4,5,10,11,4,3,1,4,0,0
1222,21/10/17,Betis,Alaves,2,0,H,1,0,H,12,7,5,3,18,9,6,5,2,2,0,0
1223,21/10/17,Levante,Getafe,1,1,D,0,0,D,5,9,1,5,18,16,3,2,1,3,0,0
1224,21/10/17,Valencia,Sevilla,4,0,H,1,0,H,18,18,8,5,15,21,7,10,2,4,0,0
1225,22/10/17,Celta,Ath Madrid,0,1,A,0,1,A,19,4,8,2,13,19,4,4,3,5,0,0
1226,22/10/17,Leganes,Ath Bilbao,1,0,H,0,0,D,15,7,4,1,16,15,4,3,3,4,0,0
1227,22/10/17,Real Madrid,Eibar,3,0,H,2,0,H,15,9,7,2,9,7,5,2,1,1,0,0
1228,22/10/17,Villarreal,Las Palmas,4,0,H,0,0,D,25,16,9,5,14,9,9,6,1,5,0,0
1229,23/10/17,La Coruna,Girona,1,2,A,0,1,A,15,13,6,6,9,16,9,7,3,8,0,0
1230,23/10/17,Sociedad,Espanol,1,1,D,0,1,A,19,4,5,1,12,15,10,1,4,4,1,0
1231,28/10/17,Alaves,Valencia,1,2,A,0,1,A,16,7,6,2,19,18,6,4,5,1,0,0
1232,28/10/17,Ath Bilbao,Barcelona,0,2,A,0,1,A,17,17,5,5,15,12,6,4,1,4,0,0
1233,28/10/17,Ath Madrid,Villarreal,1,1,D,0,0,D,18,12,6,4,13,20,11,6,0,4,0,0
1234,28/10/17,Sevilla,Leganes,2,1,H,1,0,H,9,10,5,1,16,19,5,6,0,3,0,0
1235,29/10/17,Eibar,Levante,2,2,D,0,2,A,16,3,6,2,8,16,6,2,1,3,0,0
1236,29/10/17,Getafe,Sociedad,2,1,H,0,1,A,10,15,5,4,19,16,8,7,3,2,0,0
1237,29/10/17,Girona,Real Madrid,2,1,H,0,1,A,15,15,4,6,21,11,2,7,2,1,0,0
1238,29/10/17,Malaga,Celta,2,1,H,1,0,H,15,10,4,2,20,12,4,1,2,3,0,0
1239,30/10/17,Espanol,Betis,1,0,H,0,0,D,10,9,4,4,10,17,5,3,2,5,0,0
1240,30/10/17,Las Palmas,La Coruna,1,3,A,1,1,D,13,15,5,5,11,15,8,5,1,1,0,0
1241,3/11/2017,Betis,Getafe,2,2,D,0,2,A,15,9,4,2,10,14,4,6,2,6,0,0
1242,4/11/2017,Alaves,Espanol,1,0,H,1,0,H,17,9,6,3,29,9,3,8,7,2,0,1
1243,4/11/2017,Barcelona,Sevilla,2,1,H,1,0,H,18,8,6,3,10,12,3,3,1,0,0,0
1244,4/11/2017,La Coruna,Ath Madrid,0,1,A,0,0,D,14,11,1,3,17,10,4,4,4,2,0,0
1245,4/11/2017,Valencia,Leganes,3,0,H,1,0,H,13,13,7,6,11,13,4,7,1,2,0,0
1246,5/11/2017,Celta,Ath Bilbao,3,1,H,3,1,H,11,14,5,5,13,17,3,6,2,3,0,0
1247,5/11/2017,Levante,Girona,1,2,A,0,0,D,7,10,4,5,10,16,7,2,3,4,0,0
1248,5/11/2017,Real Madrid,Las Palmas,3,0,H,1,0,H,27,2,9,1,9,9,9,2,2,1,0,0
1249,5/11/2017,Sociedad,Eibar,3,1,H,2,0,H,10,9,6,5,10,17,3,6,0,3,0,0
1250,5/11/2017,Villarreal,Malaga,2,0,H,0,0,D,14,10,3,2,18,12,6,4,2,4,0,0
1251,17/11/17,Girona,Sociedad,1,1,D,0,1,A,14,14,4,5,28,10,3,6,4,2,0,0
1252,18/11/17,Ath Madrid,Real Madrid,0,0,D,0,0,D,7,14,1,3,21,6,7,9,6,2,0,0
1253,18/11/17,Getafe,Alaves,4,1,H,2,0,H,13,11,8,5,18,14,4,5,3,3,0,0
1254,18/11/17,Leganes,Barcelona,0,3,A,0,1,A,18,11,7,7,25,10,6,3,1,2,0,0
1255,18/11/17,Sevilla,Celta,2,1,H,1,1,D,12,11,5,5,20,17,1,2,3,2,0,0
1256,19/11/17,Ath Bilbao,Villarreal,1,1,D,0,1,A,15,7,3,4,10,16,9,7,1,3,0,0
1257,19/11/17,Espanol,Valencia,0,2,A,0,0,D,12,7,4,3,11,17,3,4,0,4,0,0
1258,19/11/17,Las Palmas,Levante,0,2,A,0,0,D,10,11,5,6,9,22,3,5,1,4,0,0
1259,19/11/17,Malaga,La Coruna,3,2,H,1,1,D,14,12,5,4,16,15,5,4,4,5,0,0
1260,20/11/17,Eibar,Betis,5,0,H,2,0,H,17,4,7,0,10,9,5,2,2,2,0,1
1261,24/11/17,Celta,Leganes,1,0,H,1,0,H,14,9,7,2,13,16,3,4,2,3,0,0
1262,25/11/17,Alaves,Eibar,1,2,A,0,1,A,6,11,2,6,18,19,2,5,7,3,1,1
1263,25/11/17,Betis,Girona,2,2,D,0,1,A,12,13,6,7,9,16,3,5,2,1,0,0
1264,25/11/17,Levante,Ath Madrid,0,5,A,0,2,A,17,16,2,11,11,14,2,3,2,1,0,0
1265,25/11/17,Real Madrid,Malaga,3,2,H,2,1,H,16,9,9,3,15,13,6,0,1,2,0,0
1266,26/11/17,La Coruna,Ath Bilbao,2,2,D,1,1,D,14,10,4,3,11,14,5,2,4,1,0,0
1267,26/11/17,Sociedad,Las Palmas,2,2,D,1,1,D,16,8,3,7,22,14,11,3,4,3,1,0
1268,26/11/17,Valencia,Barcelona,1,1,D,0,0,D,8,12,1,8,12,11,3,9,4,0,0,0
1269,26/11/17,Villarreal,Sevilla,2,3,A,1,0,H,19,15,4,4,9,17,6,6,4,3,1,0
1270,27/11/17,Espanol,Getafe,1,0,H,0,0,D,10,7,5,4,12,18,6,4,3,6,0,0
1271,1/12/2017,Malaga,Levante,0,0,D,0,0,D,18,3,2,3,12,15,7,2,1,3,0,0
1272,2/12/2017,Ath Bilbao,Real Madrid,0,0,D,0,0,D,11,19,4,4,20,13,3,5,2,5,0,1
1273,2/12/2017,Ath Madrid,Sociedad,2,1,H,0,1,A,16,10,10,2,12,10,5,6,1,2,0,0
1274,2/12/2017,Barcelona,Celta,2,2,D,1,1,D,21,10,7,5,11,12,4,1,3,6,0,0
